label	remaining_run_sandboxes	remaining_run_shims	tap_ready	tap_links	tap_pool	tap_abnormal	tap_quarantined
4u-tpl-cfd915a64e2d49808f0ef4b9-r3	0	0	1	1000	984	0	0
4u-tpl-cfd915a64e2d49808f0ef4b9-r4	0	0	1	1000	984	0	0
4u-tpl-cfd915a64e2d49808f0ef4b9-r5	0	0	1	1000	984	0	0
4u-tpl-cfd915a64e2d49808f0ef4b9-r6	0	0	1	1000	984	0	0
4u-tpl-1aff9e6994f7410f829c8fb0-r1	0	0	1	1000	984	0	0
4u-tpl-1aff9e6994f7410f829c8fb0-r2	0	0	1	1000	984	0	0
4u-tpl-1aff9e6994f7410f829c8fb0-r3	0	0	1	1000	984	0	0
4u-tpl-1aff9e6994f7410f829c8fb0-r4	0	0	1	1000	984	0	0
4u-tpl-1aff9e6994f7410f829c8fb0-r5	0	0	1	1000	984	0	0
4u-tpl-1aff9e6994f7410f829c8fb0-r6	0	0	1	1000	984	0	0
5u-tpl-1883ff0a2e464b418f0e2846-r1	0	0	1	1000	984	0	0
5u-tpl-1883ff0a2e464b418f0e2846-r2	0	0	1	1000	984	0	0
5u-tpl-1883ff0a2e464b418f0e2846-r3	0	0	1	1000	984	0	0
5u-tpl-1883ff0a2e464b418f0e2846-r4	0	0	1	1000	984	0	0
5u-tpl-1883ff0a2e464b418f0e2846-r5	0	0	1	1000	984	0	0
5u-tpl-1883ff0a2e464b418f0e2846-r6	0	0	1	1000	984	0	0
5u-tpl-ade04ca479b84695a469e0cc-r1	0	0	1	1000	984	0	0
5u-tpl-ade04ca479b84695a469e0cc-r2	0	0	1	1000	984	0	0
5u-tpl-ade04ca479b84695a469e0cc-r3	0	0	1	1000	984	0	0
5u-tpl-ade04ca479b84695a469e0cc-r4	0	0	1	1000	984	0	0
5u-tpl-ade04ca479b84695a469e0cc-r5	0	0	1	1000	984	0	0
5u-tpl-ade04ca479b84695a469e0cc-r6	0	0	1	1000	984	0	0
5u-tpl-3317a8932e1149d38ab7cb28-r1	0	0	1	1000	984	0	0
5u-tpl-3317a8932e1149d38ab7cb28-r2	0	0	1	1000	984	0	0
5u-tpl-3317a8932e1149d38ab7cb28-r3	0	0	1	1000	984	0	0
5u-tpl-3317a8932e1149d38ab7cb28-r4	0	0	1	1000	984	0	0
5u-tpl-3317a8932e1149d38ab7cb28-r5	0	0	1	1000	984	0	0
5u-tpl-3317a8932e1149d38ab7cb28-r6	0	0	1	1000	984	0	0
5u-tpl-708865c050514494ba15cb11-r1	0	0	1	1000	984	0	0
5u-tpl-708865c050514494ba15cb11-r2	0	0	1	1000	984	0	0
5u-tpl-708865c050514494ba15cb11-r3	0	0	1	1000	984	0	0
5u-tpl-708865c050514494ba15cb11-r4	0	0	1	1000	984	0	0
5u-tpl-708865c050514494ba15cb11-r5	0	0	1	1000	984	0	0
5u-tpl-708865c050514494ba15cb11-r6	0	0	1	1000	984	0	0
5u-tpl-a4ebde2bc0344f0a9d7a4f14-r1	0	0	1	1000	984	0	0
5u-tpl-a4ebde2bc0344f0a9d7a4f14-r2	0	0	1	1000	984	0	0
5u-tpl-a4ebde2bc0344f0a9d7a4f14-r3	0	0	1	1000	984	0	0
5u-tpl-a4ebde2bc0344f0a9d7a4f14-r4	0	0	1	1000	984	0	0
5u-tpl-a4ebde2bc0344f0a9d7a4f14-r5	0	0	1	1000	984	0	0
5u-tpl-a4ebde2bc0344f0a9d7a4f14-r6	0	0	1	1000	984	0	0
